Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
02/01/2022 05:16:12,01/01/2022,"NTS Energy Offtaken, Interconnector Exports Total",819305506,02/01/2022 11:30:00,
01/01/2022 05:16:10,31/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",914051820,01/01/2022 11:30:00,
01/01/2022 00:00:00,01/01/2022,"NTS Energy Offtaken, Industrial Offtake Total",39974245,04/01/2022 12:01:00,A
01/01/2022 00:00:00,01/01/2022,"NTS Energy Offtaken, LDZ Offtake Total",1298334564,02/01/2022 12:01:00,L
01/01/2022 00:00:00,01/01/2022,"NTS Energy Offtaken, Powerstations Total",156066462,03/01/2022 12:01:00,A
01/01/2022 00:00:00,01/01/2022,"NTS Energy Offtaken, Storage Injection Total",452259466,02/01/2022 12:01:00,L
31/12/2021 05:16:17,30/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",790434480,31/12/2021 11:30:00,
31/12/2021 00:00:00,31/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",41332862,04/01/2022 16:01:01,A
31/12/2021 00:00:00,31/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",1359399702,04/01/2022 16:01:01,A
31/12/2021 00:00:00,31/12/2021,"NTS Energy Offtaken, Powerstations Total",216548234,03/01/2022 12:01:00,A
31/12/2021 00:00:00,31/12/2021,"NTS Energy Offtaken, Storage Injection Total",272406067,01/01/2022 14:01:00,A
30/12/2021 05:16:16,29/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",784692379,30/12/2021 11:30:00,
30/12/2021 00:00:00,30/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",43184476,04/01/2022 16:01:01,A
30/12/2021 00:00:00,30/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",1465177535,31/12/2021 12:01:01,L
30/12/2021 00:00:00,30/12/2021,"NTS Energy Offtaken, Powerstations Total",200369147,31/12/2021 12:01:01,A
30/12/2021 00:00:00,30/12/2021,"NTS Energy Offtaken, Storage Injection Total",335446808,31/12/2021 12:01:01,L
