Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
31/12/2022 05:16,30/12/2022,"NTS Energy Offtaken, Interconnector Exports Total",619894859,31/12/2022 11:30,
31/12/2022 00:00,31/12/2022,"NTS Energy Offtaken, Industrial Offtake Total",41136766,04/01/2023 14:01,A
31/12/2022 00:00,31/12/2022,"NTS Energy Offtaken, LDZ Offtake Total",1553465639,04/01/2023 12:01,A
31/12/2022 00:00,31/12/2022,"NTS Energy Offtaken, Powerstations Total",245989939,02/01/2023 10:01,A
31/12/2022 00:00,31/12/2022,"NTS Energy Offtaken, Storage Injection Total",177421386,01/01/2023 12:01,L
30/12/2022 05:16,29/12/2022,"NTS Energy Offtaken, Interconnector Exports Total",770624100,30/12/2022 11:30,
30/12/2022 00:00,30/12/2022,"NTS Energy Offtaken, Industrial Offtake Total",39916179,02/01/2023 12:01,A
30/12/2022 00:00,30/12/2022,"NTS Energy Offtaken, LDZ Offtake Total",1732955801,04/01/2023 12:01,A
30/12/2022 00:00,30/12/2022,"NTS Energy Offtaken, Powerstations Total",111661365,03/01/2023 16:01,A
30/12/2022 00:00,30/12/2022,"NTS Energy Offtaken, Storage Injection Total",166627744,31/12/2022 12:01,L
29/12/2022 05:16,28/12/2022,"NTS Energy Offtaken, Interconnector Exports Total",759366301,29/12/2022 11:30,
29/12/2022 00:00,29/12/2022,"NTS Energy Offtaken, Industrial Offtake Total",36725922,31/12/2022 12:01,A
29/12/2022 00:00,29/12/2022,"NTS Energy Offtaken, LDZ Offtake Total",1798669711,03/01/2023 16:01,A
29/12/2022 00:00,29/12/2022,"NTS Energy Offtaken, Powerstations Total",109509312,30/12/2022 12:01,A
29/12/2022 00:00,29/12/2022,"NTS Energy Offtaken, Storage Injection Total",203318433,30/12/2022 12:01,L
28/12/2022 05:16,27/12/2022,"NTS Energy Offtaken, Interconnector Exports Total",746420375,28/12/2022 11:30,
28/12/2022 00:00,28/12/2022,"NTS Energy Offtaken, Industrial Offtake Total",44040004,29/12/2022 16:01,A
28/12/2022 00:00,28/12/2022,"NTS Energy Offtaken, LDZ Offtake Total",1701913006,29/12/2022 16:01,A
28/12/2022 00:00,28/12/2022,"NTS Energy Offtaken, Powerstations Total",141626263,02/01/2023 14:01,A
28/12/2022 00:00,28/12/2022,"NTS Energy Offtaken, Storage Injection Total",562626411,29/12/2022 12:01,L
