Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
31/12/2021 00:00,31/12/2021,"Demand Actual, NTS, D+1 (Energy)",1889686865,04/01/2022 16:01,A
30/12/2021 00:00,30/12/2021,"Demand Actual, NTS, D+1 (Energy)",2044177966,04/01/2022 16:01,A
29/12/2021 00:00,29/12/2021,"Demand Actual, NTS, D+1 (Energy)",2180218026,31/12/2021 12:01,A
28/12/2021 00:00,28/12/2021,"Demand Actual, NTS, D+1 (Energy)",2472935896,30/12/2021 16:01,A
27/12/2021 00:00,27/12/2021,"Demand Actual, NTS, D+1 (Energy)",2548382176,29/12/2021 16:01,A
26/12/2021 00:00,26/12/2021,"Demand Actual, NTS, D+1 (Energy)",2660825892,29/12/2021 12:01,A
25/12/2021 00:00,25/12/2021,"Demand Actual, NTS, D+1 (Energy)",2537820882,29/12/2021 12:01,A
24/12/2021 00:00,24/12/2021,"Demand Actual, NTS, D+1 (Energy)",2767788495,29/12/2021 12:01,A
23/12/2021 00:00,23/12/2021,"Demand Actual, NTS, D+1 (Energy)",2970578357,28/12/2021 12:01,A
22/12/2021 00:00,22/12/2021,"Demand Actual, NTS, D+1 (Energy)",3549957727,24/12/2021 12:01,A
21/12/2021 00:00,21/12/2021,"Demand Actual, NTS, D+1 (Energy)",3529519626,23/12/2021 14:01,A
20/12/2021 00:00,20/12/2021,"Demand Actual, NTS, D+1 (Energy)",3403465522,22/12/2021 12:01,A
19/12/2021 00:00,19/12/2021,"Demand Actual, NTS, D+1 (Energy)",3166546269,21/12/2021 14:01,A
18/12/2021 00:00,18/12/2021,"Demand Actual, NTS, D+1 (Energy)",2999023747,21/12/2021 14:01,A
17/12/2021 00:00,17/12/2021,"Demand Actual, NTS, D+1 (Energy)",3125154861,21/12/2021 14:01,A
16/12/2021 00:00,16/12/2021,"Demand Actual, NTS, D+1 (Energy)",2904343730,21/12/2021 12:01,A
15/12/2021 00:00,15/12/2021,"Demand Actual, NTS, D+1 (Energy)",2783576518,17/12/2021 12:01,A
14/12/2021 00:00,14/12/2021,"Demand Actual, NTS, D+1 (Energy)",2754202657,16/12/2021 12:01,A
13/12/2021 00:00,13/12/2021,"Demand Actual, NTS, D+1 (Energy)",2778847602,15/12/2021 16:01,A
12/12/2021 00:00,12/12/2021,"Demand Actual, NTS, D+1 (Energy)",2524477919,15/12/2021 12:01,A
11/12/2021 00:00,11/12/2021,"Demand Actual, NTS, D+1 (Energy)",2799034045,15/12/2021 16:01,A
10/12/2021 00:00,10/12/2021,"Demand Actual, NTS, D+1 (Energy)",3196888759,15/12/2021 14:01,A
09/12/2021 00:00,09/12/2021,"Demand Actual, NTS, D+1 (Energy)",3260319865,13/12/2021 16:01,A
08/12/2021 00:00,08/12/2021,"Demand Actual, NTS, D+1 (Energy)",3265158028,10/12/2021 14:01,A
07/12/2021 00:00,07/12/2021,"Demand Actual, NTS, D+1 (Energy)",3358361535,10/12/2021 12:01,A
06/12/2021 00:00,06/12/2021,"Demand Actual, NTS, D+1 (Energy)",3444204162,08/12/2021 12:01,A
05/12/2021 00:00,05/12/2021,"Demand Actual, NTS, D+1 (Energy)",3111027899,07/12/2021 12:01,A
04/12/2021 00:00,04/12/2021,"Demand Actual, NTS, D+1 (Energy)",2998029774,06/12/2021 12:01,A
03/12/2021 00:00,03/12/2021,"Demand Actual, NTS, D+1 (Energy)",3272302675,06/12/2021 16:01,A
02/12/2021 00:00,02/12/2021,"Demand Actual, NTS, D+1 (Energy)",3536287500,07/12/2021 12:01,A
01/12/2021 00:00,01/12/2021,"Demand Actual, NTS, D+1 (Energy)",3056558578,03/12/2021 12:01,A
30/11/2021 00:00,30/11/2021,"Demand Actual, NTS, D+1 (Energy)",2885384268,01/12/2021 14:01,A
29/11/2021 00:00,29/11/2021,"Demand Actual, NTS, D+1 (Energy)",3664503328,01/12/2021 12:01,A
28/11/2021 00:00,28/11/2021,"Demand Actual, NTS, D+1 (Energy)",3500353692,02/12/2021 14:01,A
27/11/2021 00:00,27/11/2021,"Demand Actual, NTS, D+1 (Energy)",3188499607,30/11/2021 16:01,A
26/11/2021 00:00,26/11/2021,"Demand Actual, NTS, D+1 (Energy)",3024284038,30/11/2021 14:01,A
25/11/2021 00:00,25/11/2021,"Demand Actual, NTS, D+1 (Energy)",3057490015,26/11/2021 14:01,A
24/11/2021 00:00,24/11/2021,"Demand Actual, NTS, D+1 (Energy)",3103413808,26/11/2021 12:01,A
23/11/2021 00:00,23/11/2021,"Demand Actual, NTS, D+1 (Energy)",3204404659,25/11/2021 12:01,A
22/11/2021 00:00,22/11/2021,"Demand Actual, NTS, D+1 (Energy)",3099978581,24/11/2021 12:01,A
21/11/2021 00:00,21/11/2021,"Demand Actual, NTS, D+1 (Energy)",2359426445,23/11/2021 16:01,A
