Applicable At,Applicable For,Data Item,DemandActualNTSD,IndustrialOfftakeTotal,InterconnectorExportsTotal,LDZOfftakeTotal,PowerstationsTotal,StorageInjectionTotal,,??export???????????
31/12/2021 00:00,31/12/2021,"Demand Actual, NTS, D+1 (Energy)",1.89E+09,4.13E+07,9.14E+08,1.36E+09,2.17E+08,2.72E+08,,
30/12/2021 00:00,30/12/2021,"Demand Actual, NTS, D+1 (Energy)",2.04E+09,4.32E+07,7.90E+08,1.47E+09,2.00E+08,3.35E+08,,
29/12/2021 00:00,29/12/2021,"Demand Actual, NTS, D+1 (Energy)",2.18E+09,4.34E+07,7.85E+08,1.75E+09,2.28E+08,1.61E+08,,
28/12/2021 00:00,28/12/2021,"Demand Actual, NTS, D+1 (Energy)",2.47E+09,4.78E+07,5.54E+08,1.82E+09,4.70E+08,1.30E+08,,
27/12/2021 00:00,27/12/2021,"Demand Actual, NTS, D+1 (Energy)",2.55E+09,5.65E+07,5.11E+08,1.89E+09,4.96E+08,1.10E+08,,
26/12/2021 00:00,26/12/2021,"Demand Actual, NTS, D+1 (Energy)",2.66E+09,4.84E+07,3.96E+08,1.99E+09,3.81E+08,2.46E+08,,
25/12/2021 00:00,25/12/2021,"Demand Actual, NTS, D+1 (Energy)",2.54E+09,4.37E+07,4.09E+08,1.97E+09,2.16E+08,3.12E+08,,
24/12/2021 00:00,24/12/2021,"Demand Actual, NTS, D+1 (Energy)",2.77E+09,5.56E+07,2.76E+08,1.94E+09,4.91E+08,2.81E+08,,
23/12/2021 00:00,23/12/2021,"Demand Actual, NTS, D+1 (Energy)",2.97E+09,5.75E+07,2.06E+08,2.17E+09,6.79E+08,6.35E+07,,
22/12/2021 00:00,22/12/2021,"Demand Actual, NTS, D+1 (Energy)",3.55E+09,6.04E+07,1.85E+08,2.66E+09,8.25E+08,0.00E+00,,
21/12/2021 00:00,21/12/2021,"Demand Actual, NTS, D+1 (Energy)",3.53E+09,7.09E+07,2.03E+08,2.54E+09,9.23E+08,0.00E+00,,
20/12/2021 00:00,20/12/2021,"Demand Actual, NTS, D+1 (Energy)",3.40E+09,7.31E+07,2.27E+08,2.37E+09,9.59E+08,0.00E+00,,
19/12/2021 00:00,19/12/2021,"Demand Actual, NTS, D+1 (Energy)",3.17E+09,6.31E+07,1.95E+08,2.25E+09,8.49E+08,0.00E+00,,
18/12/2021 00:00,18/12/2021,"Demand Actual, NTS, D+1 (Energy)",3.00E+09,5.90E+07,1.98E+08,2.07E+09,8.33E+08,3.61E+07,,
17/12/2021 00:00,17/12/2021,"Demand Actual, NTS, D+1 (Energy)",3.13E+09,6.40E+07,2.01E+08,2.10E+09,8.85E+08,7.61E+07,,
16/12/2021 00:00,16/12/2021,"Demand Actual, NTS, D+1 (Energy)",2.90E+09,7.01E+07,2.17E+08,1.93E+09,9.05E+08,3.67E+05,,
15/12/2021 00:00,15/12/2021,"Demand Actual, NTS, D+1 (Energy)",2.78E+09,6.13E+07,1.99E+08,1.82E+09,7.23E+08,1.82E+08,,
14/12/2021 00:00,14/12/2021,"Demand Actual, NTS, D+1 (Energy)",2.75E+09,5.53E+07,2.24E+08,1.88E+09,6.17E+08,2.00E+08,,
13/12/2021 00:00,13/12/2021,"Demand Actual, NTS, D+1 (Energy)",2.78E+09,5.49E+07,2.17E+08,1.94E+09,7.36E+08,4.26E+07,,
12/12/2021 00:00,12/12/2021,"Demand Actual, NTS, D+1 (Energy)",2.52E+09,4.95E+07,2.09E+08,1.72E+09,3.66E+08,3.88E+08,,
11/12/2021 00:00,11/12/2021,"Demand Actual, NTS, D+1 (Energy)",2.80E+09,5.46E+07,1.54E+08,2.24E+09,4.99E+08,8.80E+06,,
10/12/2021 00:00,10/12/2021,"Demand Actual, NTS, D+1 (Energy)",3.20E+09,5.25E+07,2.09E+08,2.47E+09,6.78E+08,0.00E+00,,
09/12/2021 00:00,09/12/2021,"Demand Actual, NTS, D+1 (Energy)",3.26E+09,5.97E+07,2.02E+08,2.42E+09,7.31E+08,4.69E+07,,
08/12/2021 00:00,08/12/2021,"Demand Actual, NTS, D+1 (Energy)",3.27E+09,5.94E+07,1.80E+08,2.55E+09,6.59E+08,2.27E+05,,
07/12/2021 00:00,07/12/2021,"Demand Actual, NTS, D+1 (Energy)",3.36E+09,5.76E+07,1.74E+08,2.64E+09,6.59E+08,0.00E+00,,
06/12/2021 00:00,06/12/2021,"Demand Actual, NTS, D+1 (Energy)",3.44E+09,6.22E+07,1.85E+08,2.61E+09,7.61E+08,1.10E+07,,
05/12/2021 00:00,05/12/2021,"Demand Actual, NTS, D+1 (Energy)",3.11E+09,5.72E+07,1.86E+08,2.37E+09,6.37E+08,5.05E+07,,
04/12/2021 00:00,04/12/2021,"Demand Actual, NTS, D+1 (Energy)",3.00E+09,4.48E+07,1.81E+08,2.24E+09,4.43E+08,2.74E+08,,
03/12/2021 00:00,03/12/2021,"Demand Actual, NTS, D+1 (Energy)",3.27E+09,6.37E+07,2.13E+08,2.39E+09,7.39E+08,7.58E+07,,
02/12/2021 00:00,02/12/2021,"Demand Actual, NTS, D+1 (Energy)",3.54E+09,6.60E+07,2.39E+08,2.69E+09,7.46E+08,3.04E+07,,
01/12/2021 00:00,01/12/2021,"Demand Actual, NTS, D+1 (Energy)",3.06E+09,5.33E+07,1.79E+08,2.28E+09,5.40E+08,1.86E+08,,
30/11/2021 00:00,30/11/2021,"Demand Actual, NTS, D+1 (Energy)",2.89E+09,5.41E+07,1.83E+08,2.12E+09,5.62E+08,1.47E+08,,
