Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
31/12/2021 00:00:00,31/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",41332862,04/01/2022 16:01:01,A
30/12/2021 00:00:00,30/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",43184476,04/01/2022 16:01:01,A
29/12/2021 00:00:00,29/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",43393797,30/12/2021 14:01:00,A
28/12/2021 00:00:00,28/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",47840668,30/12/2021 12:01:01,A
27/12/2021 00:00:00,27/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",56472493,29/12/2021 12:01:00,A
26/12/2021 00:00:00,26/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",48412143,29/12/2021 12:01:00,A
25/12/2021 00:00:00,25/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",43736973,29/12/2021 12:01:00,A
24/12/2021 00:00:00,24/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",55625582,29/12/2021 12:01:00,A
23/12/2021 00:00:00,23/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",57507876,28/12/2021 12:01:00,A
22/12/2021 00:00:00,22/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",60356585,24/12/2021 12:01:00,A
21/12/2021 00:00:00,21/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",70884896,23/12/2021 12:01:00,A
20/12/2021 00:00:00,20/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",73075601,22/12/2021 12:01:01,A
19/12/2021 00:00:00,19/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",63087978,21/12/2021 14:01:01,A
18/12/2021 00:00:00,18/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",58977872,21/12/2021 14:01:01,A
17/12/2021 00:00:00,17/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",64019583,21/12/2021 14:01:01,A
16/12/2021 00:00:00,16/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",70129923,21/12/2021 12:01:01,A
15/12/2021 00:00:00,15/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",61256177,17/12/2021 12:01:01,A
14/12/2021 00:00:00,14/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",55317611,16/12/2021 12:01:00,A
13/12/2021 00:00:00,13/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",54942292,15/12/2021 16:01:00,A
12/12/2021 00:00:00,12/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",49508978,14/12/2021 14:01:00,A
11/12/2021 00:00:00,11/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",54585702,15/12/2021 16:01:00,A
10/12/2021 00:00:00,10/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",52511748,15/12/2021 14:01:00,A
