Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
01/01/2022 05:16:10,31/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",914051820,01/01/2022 11:30:00,
31/12/2021 05:16:17,30/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",790434480,31/12/2021 11:30:00,
30/12/2021 05:16:16,29/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",784692379,30/12/2021 11:30:00,
29/12/2021 05:16:12,28/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",553588578,29/12/2021 11:30:00,
28/12/2021 05:16:14,27/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",511493670,28/12/2021 11:30:00,
27/12/2021 05:16:14,26/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",396064032,27/12/2021 11:30:00,
26/12/2021 05:16:05,25/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",408993249,26/12/2021 11:30:00,
25/12/2021 05:16:05,24/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",276354542,25/12/2021 11:30:00,
24/12/2021 05:16:09,23/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",205564296,24/12/2021 11:30:00,
23/12/2021 05:16:06,22/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",185102047,23/12/2021 11:30:00,
22/12/2021 05:16:18,21/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",203488889,22/12/2021 11:30:00,
21/12/2021 08:50:59,20/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",227027778,21/12/2021 11:30:00,
20/12/2021 05:16:12,19/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",194733333,20/12/2021 11:30:00,
19/12/2021 05:16:10,18/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",197722222,19/12/2021 11:30:00,
18/12/2021 05:16:03,17/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",201455556,18/12/2021 11:30:00,
17/12/2021 07:23:36,16/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",217062436,17/12/2021 11:30:00,
16/12/2021 08:30:27,15/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",199333333,16/12/2021 11:30:00,
15/12/2021 05:16:06,14/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",224366290,15/12/2021 11:30:00,
14/12/2021 05:16:07,13/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",217122222,14/12/2021 11:30:00,
13/12/2021 05:16:09,12/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",209127867,13/12/2021 11:30:00,
12/12/2021 05:16:13,11/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",154000000,12/12/2021 11:30:00,
11/12/2021 05:16:14,10/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",209366667,11/12/2021 11:30:00,
10/12/2021 05:16:11,09/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",202144444,10/12/2021 11:30:00,
09/12/2021 05:16:06,08/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",180200000,09/12/2021 11:30:00,
08/12/2021 05:16:05,07/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",173900000,08/12/2021 11:30:00,
07/12/2021 05:16:13,06/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",185066667,07/12/2021 11:30:00,
06/12/2021 05:16:10,05/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",185944444,06/12/2021 11:30:00,
05/12/2021 05:16:10,04/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",181056207,05/12/2021 11:30:00,
04/12/2021 05:16:12,03/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",212888889,04/12/2021 11:30:00,
03/12/2021 05:16:03,02/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",239377778,03/12/2021 11:30:00,
02/12/2021 05:16:08,01/12/2021,"NTS Energy Offtaken, Interconnector Exports Total",179088889,02/12/2021 11:30:00,
01/12/2021 05:16:08,30/11/2021,"NTS Energy Offtaken, Interconnector Exports Total",183248530,01/12/2021 11:30:00,
30/11/2021 05:16:18,29/11/2021,"NTS Energy Offtaken, Interconnector Exports Total",209111111,30/11/2021 11:30:00,
29/11/2021 05:16:11,28/11/2021,"NTS Energy Offtaken, Interconnector Exports Total",188344444,29/11/2021 11:30:00,
28/11/2021 05:16:08,27/11/2021,"NTS Energy Offtaken, Interconnector Exports Total",173977778,28/11/2021 11:30:00,
27/11/2021 05:16:06,26/11/2021,"NTS Energy Offtaken, Interconnector Exports Total",155100000,27/11/2021 11:30:00,
26/11/2021 05:16:15,25/11/2021,"NTS Energy Offtaken, Interconnector Exports Total",209633333,26/11/2021 11:30:00,
25/11/2021 05:16:05,24/11/2021,"NTS Energy Offtaken, Interconnector Exports Total",210566667,25/11/2021 11:30:00,
24/11/2021 05:16:10,23/11/2021,"NTS Energy Offtaken, Interconnector Exports Total",234444444,24/11/2021 11:30:00,
