Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
31/12/2021 00:00:00,31/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",1359399702,04/01/2022 16:01:01,A
30/12/2021 00:00:00,30/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",1465177535,31/12/2021 12:01:01,L
29/12/2021 00:00:00,29/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",1747323686,31/12/2021 12:01:01,A
28/12/2021 00:00:00,28/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",1824742065,30/12/2021 16:01:00,A
27/12/2021 00:00:00,27/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",1885892821,29/12/2021 16:01:01,A
26/12/2021 00:00:00,26/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",1985344875,28/12/2021 16:01:01,A
25/12/2021 00:00:00,25/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",1966268488,26/12/2021 12:01:00,L
24/12/2021 00:00:00,24/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",1939172950,25/12/2021 12:01:00,L
23/12/2021 00:00:00,23/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",2170778142,24/12/2021 14:01:01,A
22/12/2021 00:00:00,22/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",2664939755,23/12/2021 14:01:00,A
21/12/2021 00:00:00,21/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",2535989956,22/12/2021 14:01:00,A
20/12/2021 00:00:00,20/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",2371874864,21/12/2021 14:01:01,A
19/12/2021 00:00:00,19/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",2254029119,20/12/2021 12:01:00,L
18/12/2021 00:00:00,18/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",2070543831,19/12/2021 12:02:00,L
17/12/2021 00:00:00,17/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",2100083021,18/12/2021 12:01:00,L
16/12/2021 00:00:00,16/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",1928750978,18/12/2021 16:01:01,A
15/12/2021 00:00:00,15/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",1817262810,16/12/2021 12:01:00,L
14/12/2021 00:00:00,14/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",1882089856,15/12/2021 12:01:00,L
13/12/2021 00:00:00,13/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",1944816549,15/12/2021 12:01:00,A
12/12/2021 00:00:00,12/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",1721093130,15/12/2021 12:01:00,A
11/12/2021 00:00:00,11/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",2237078729,15/12/2021 12:01:00,A
10/12/2021 00:00:00,10/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",2466071306,15/12/2021 12:01:00,A
09/12/2021 00:00:00,09/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",2422898118,10/12/2021 12:01:00,L
08/12/2021 00:00:00,08/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",2546335390,09/12/2021 16:01:01,A
07/12/2021 00:00:00,07/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",2641999289,08/12/2021 12:01:01,L
06/12/2021 00:00:00,06/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",2610413283,07/12/2021 12:01:01,L
05/12/2021 00:00:00,05/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",2366312270,07/12/2021 12:01:01,A
04/12/2021 00:00:00,04/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",2236056395,05/12/2021 12:01:00,L
03/12/2021 00:00:00,03/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",2393666344,06/12/2021 16:01:01,A
02/12/2021 00:00:00,02/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",2693643329,03/12/2021 12:01:01,L
01/12/2021 00:00:00,01/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",2277699704,02/12/2021 12:01:01,L
30/11/2021 00:00:00,30/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",2121913687,01/12/2021 14:01:01,A
29/11/2021 00:00:00,29/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",2846012185,30/11/2021 12:01:01,L
28/11/2021 00:00:00,28/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",2720179039,29/11/2021 12:01:01,L
27/11/2021 00:00:00,27/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",2625446977,30/11/2021 16:01:01,A
26/11/2021 00:00:00,26/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",2403181666,29/11/2021 16:01:01,A
25/11/2021 00:00:00,25/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",2341357104,26/11/2021 14:01:00,A
24/11/2021 00:00:00,24/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",2216907502,25/11/2021 14:01:00,A
23/11/2021 00:00:00,23/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",2250122417,24/11/2021 14:01:00,A
22/11/2021 00:00:00,22/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",2255996800,23/11/2021 12:01:00,L
21/11/2021 00:00:00,21/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",1938723753,23/11/2021 16:01:00,A
20/11/2021 00:00:00,20/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",1542102937,22/11/2021 12:01:01,A
19/11/2021 00:00:00,19/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",1505350678,20/11/2021 12:01:01,L
18/11/2021 00:00:00,18/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",1656409052,19/11/2021 14:01:01,A
17/11/2021 00:00:00,17/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",1749208652,18/11/2021 14:01:00,A
16/11/2021 00:00:00,16/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",1708972343,17/11/2021 14:01:00,A
15/11/2021 00:00:00,15/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",1693087584,16/11/2021 12:01:01,L
14/11/2021 00:00:00,14/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",1493713131,16/11/2021 12:01:01,A
13/11/2021 00:00:00,13/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",1441265111,15/11/2021 12:01:00,A
12/11/2021 00:00:00,12/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",1509268269,15/11/2021 16:01:01,A
11/11/2021 00:00:00,11/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",1502119808,12/11/2021 16:01:00,A
10/11/2021 00:00:00,10/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",1535332918,11/11/2021 14:01:01,A
09/11/2021 00:00:00,09/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",1443220392,10/11/2021 12:01:01,L
08/11/2021 00:00:00,08/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",1793921621,09/11/2021 16:01:01,A
07/11/2021 00:00:00,07/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",1637641768,09/11/2021 16:01:01,A
06/11/2021 00:00:00,06/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",1573976790,09/11/2021 16:01:01,A
05/11/2021 00:00:00,05/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",1992132436,09/11/2021 16:01:01,A
04/11/2021 00:00:00,04/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",2040630292,06/11/2021 12:01:01,A
03/11/2021 00:00:00,03/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",1987595557,04/11/2021 14:01:00,A
02/11/2021 00:00:00,02/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",1837750891,04/11/2021 16:01:00,A
01/11/2021 00:00:00,01/11/2021,"NTS Energy Offtaken, LDZ Offtake Total",1693330826,02/11/2021 12:01:00,L
31/10/2021 01:00:00,31/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",1445451627,02/11/2021 12:01:00,A
30/10/2021 01:00:00,30/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",1325342408,01/11/2021 16:01:01,A
29/10/2021 01:00:00,29/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",1225828206,01/11/2021 16:01:01,A
28/10/2021 01:00:00,28/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",1150875999,29/10/2021 14:01:01,A
27/10/2021 01:00:00,27/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",1113322552,28/10/2021 14:01:01,A
26/10/2021 01:00:00,26/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",1274365843,27/10/2021 12:01:00,L
25/10/2021 01:00:00,25/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",1279804430,26/10/2021 14:01:01,A
24/10/2021 01:00:00,24/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",1238218153,25/10/2021 16:01:00,A
23/10/2021 01:00:00,23/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",1334785778,24/10/2021 12:01:00,L
22/10/2021 01:00:00,22/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",1566560127,25/10/2021 16:01:00,A
21/10/2021 01:00:00,21/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",1485027625,22/10/2021 12:01:01,L
20/10/2021 01:00:00,20/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",1082947864,21/10/2021 12:01:01,L
19/10/2021 01:00:00,19/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",930139612,20/10/2021 14:01:01,A
18/10/2021 01:00:00,18/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",1145711169,19/10/2021 12:01:01,L
17/10/2021 01:00:00,17/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",1083660638,18/10/2021 16:01:00,A
16/10/2021 01:00:00,16/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",1200987374,17/10/2021 12:01:01,L
15/10/2021 01:00:00,15/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",1207451279,16/10/2021 12:01:01,L
14/10/2021 01:00:00,14/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",1125402625,15/10/2021 14:01:01,A
13/10/2021 01:00:00,13/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",1178035953,14/10/2021 12:01:01,L
12/10/2021 01:00:00,12/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",1221427666,13/10/2021 13:42:00,L
11/10/2021 01:00:00,11/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",1162661943,12/10/2021 12:01:01,L
10/10/2021 01:00:00,10/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",944807547,12/10/2021 12:01:01,A
09/10/2021 01:00:00,09/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",859503149,11/10/2021 16:01:01,A
08/10/2021 01:00:00,08/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",880542624,12/10/2021 12:01:01,A
07/10/2021 01:00:00,07/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",979381422,08/10/2021 14:01:00,A
06/10/2021 01:00:00,06/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",1187833095,07/10/2021 16:01:01,A
05/10/2021 01:00:00,05/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",1250221410,07/10/2021 16:01:01,A
04/10/2021 01:00:00,04/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",1158609183,07/10/2021 16:01:01,A
03/10/2021 01:00:00,03/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",1090634342,04/10/2021 14:01:00,A
02/10/2021 01:00:00,02/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",1194222635,06/10/2021 12:01:00,A
01/10/2021 01:00:00,01/10/2021,"NTS Energy Offtaken, LDZ Offtake Total",977372246,04/10/2021 16:01:00,A
30/09/2021 01:00:00,30/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",1154572706,01/10/2021 14:01:01,A
29/09/2021 01:00:00,29/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",1030741875,30/09/2021 16:01:00,A
28/09/2021 01:00:00,28/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",943699658,29/09/2021 16:01:01,A
27/09/2021 01:00:00,27/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",734972907,28/09/2021 12:01:01,L
26/09/2021 01:00:00,26/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",580476409,27/09/2021 16:01:00,A
25/09/2021 01:00:00,25/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",611862465,27/09/2021 16:01:00,A
24/09/2021 01:00:00,24/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",662706641,27/09/2021 16:01:00,A
23/09/2021 01:00:00,23/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",729123811,25/09/2021 16:01:00,A
22/09/2021 01:00:00,22/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",707657682,24/09/2021 12:01:01,A
21/09/2021 01:00:00,21/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",711700407,22/09/2021 14:01:00,A
20/09/2021 01:00:00,20/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",705577622,22/09/2021 16:01:00,A
19/09/2021 01:00:00,19/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",608114829,20/09/2021 14:01:00,A
18/09/2021 01:00:00,18/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",579879919,20/09/2021 13:01:01,A
17/09/2021 01:00:00,17/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",633973040,22/09/2021 12:01:00,A
16/09/2021 01:00:00,16/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",655533021,17/09/2021 14:01:00,A
15/09/2021 01:00:00,15/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",700755479,17/09/2021 16:01:00,A
14/09/2021 01:00:00,14/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",767529321,15/09/2021 14:01:01,A
13/09/2021 01:00:00,13/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",692432612,14/09/2021 16:01:01,A
12/09/2021 01:00:00,12/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",605451356,14/09/2021 16:01:01,A
11/09/2021 01:00:00,11/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",537435425,14/09/2021 16:01:01,A
10/09/2021 01:00:00,10/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",601317827,13/09/2021 12:01:01,A
09/09/2021 01:00:00,09/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",632978818,10/09/2021 12:01:00,L
08/09/2021 01:00:00,08/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",597634606,09/09/2021 12:01:01,L
07/09/2021 01:00:00,07/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",587047524,11/09/2021 12:01:01,A
06/09/2021 01:00:00,06/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",609368456,07/09/2021 12:01:01,L
05/09/2021 01:00:00,05/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",589396328,06/09/2021 16:01:01,A
04/09/2021 01:00:00,04/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",649564945,06/09/2021 16:01:01,A
03/09/2021 01:00:00,03/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",737488636,07/09/2021 16:01:00,A
02/09/2021 01:00:00,02/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",775401271,07/09/2021 12:01:01,A
01/09/2021 01:00:00,01/09/2021,"NTS Energy Offtaken, LDZ Offtake Total",791009906,02/09/2021 16:01:01,A
31/08/2021 01:00:00,31/08/2021,"NTS Energy Offtaken, LDZ Offtake Total",771714606,01/09/2021 14:01:00,A
30/08/2021 01:00:00,30/08/2021,"NTS Energy Offtaken, LDZ Offtake Total",702470607,01/09/2021 16:01:00,A
29/08/2021 01:00:00,29/08/2021,"NTS Energy Offtaken, LDZ Offtake Total",611267643,31/08/2021 16:01:00,A
28/08/2021 01:00:00,28/08/2021,"NTS Energy Offtaken, LDZ Offtake Total",576749345,31/08/2021 16:01:00,A
27/08/2021 01:00:00,27/08/2021,"NTS Energy Offtaken, LDZ Offtake Total",654528283,31/08/2021 16:01:00,A
26/08/2021 01:00:00,26/08/2021,"NTS Energy Offtaken, LDZ Offtake Total",633007237,28/08/2021 12:01:01,A
25/08/2021 01:00:00,25/08/2021,"NTS Energy Offtaken, LDZ Offtake Total",630465193,26/08/2021 12:01:00,L
24/08/2021 01:00:00,24/08/2021,"NTS Energy Offtaken, LDZ Offtake Total",627974031,26/08/2021 12:01:00,A
23/08/2021 01:00:00,23/08/2021,"NTS Energy Offtaken, LDZ Offtake Total",627440489,26/08/2021 12:01:00,A
22/08/2021 01:00:00,22/08/2021,"NTS Energy Offtaken, LDZ Offtake Total",575172379,23/08/2021 12:01:01,L
21/08/2021 01:00:00,21/08/2021,"NTS Energy Offtaken, LDZ Offtake Total",578421521,23/08/2021 12:01:01,A
20/08/2021 01:00:00,20/08/2021,"NTS Energy Offtaken, LDZ Offtake Total",627477198,23/08/2021 16:01:00,A
19/08/2021 01:00:00,19/08/2021,"NTS Energy Offtaken, LDZ Offtake Total",674701802,23/08/2021 16:01:00,A
18/08/2021 01:00:00,18/08/2021,"NTS Energy Offtaken, LDZ Offtake Total",666333655,19/08/2021 12:01:01,L
17/08/2021 01:00:00,17/08/2021,"NTS Energy Offtaken, LDZ Offtake Total",680587746,19/08/2021 16:01:01,A
16/08/2021 01:00:00,16/08/2021,"NTS Energy Offtaken, LDZ Offtake Total",656102387,17/08/2021 12:01:01,L
15/08/2021 01:00:00,15/08/2021,"NTS Energy Offtaken, LDZ Offtake Total",560901519,16/08/2021 16:01:00,A
14/08/2021 01:00:00,14/08/2021,"NTS Energy Offtaken, LDZ Offtake Total",545277703,16/08/2021 16:01:00,A
