Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
31/12/2021 00:00:00,31/12/2021,"NTS Energy Offtaken, Powerstations Total",216548234,03/01/2022 12:01:00,A
30/12/2021 00:00:00,30/12/2021,"NTS Energy Offtaken, Powerstations Total",200369147,31/12/2021 12:01:01,A
29/12/2021 00:00:00,29/12/2021,"NTS Energy Offtaken, Powerstations Total",228211223,30/12/2021 12:01:01,A
28/12/2021 00:00:00,28/12/2021,"NTS Energy Offtaken, Powerstations Total",470451169,29/12/2021 14:01:00,A
27/12/2021 00:00:00,27/12/2021,"NTS Energy Offtaken, Powerstations Total",496147092,29/12/2021 12:01:00,A
26/12/2021 00:00:00,26/12/2021,"NTS Energy Offtaken, Powerstations Total",380870585,28/12/2021 12:01:00,A
25/12/2021 00:00:00,25/12/2021,"NTS Energy Offtaken, Powerstations Total",215752454,26/12/2021 12:01:00,A
24/12/2021 00:00:00,24/12/2021,"NTS Energy Offtaken, Powerstations Total",491491474,25/12/2021 12:01:00,A
23/12/2021 00:00:00,23/12/2021,"NTS Energy Offtaken, Powerstations Total",678777892,24/12/2021 12:01:00,A
22/12/2021 00:00:00,22/12/2021,"NTS Energy Offtaken, Powerstations Total",824661387,23/12/2021 12:01:00,A
21/12/2021 00:00:00,21/12/2021,"NTS Energy Offtaken, Powerstations Total",922644774,23/12/2021 14:01:00,A
20/12/2021 00:00:00,20/12/2021,"NTS Energy Offtaken, Powerstations Total",958515057,21/12/2021 12:01:01,A
19/12/2021 00:00:00,19/12/2021,"NTS Energy Offtaken, Powerstations Total",849429172,20/12/2021 12:01:00,A
18/12/2021 00:00:00,18/12/2021,"NTS Energy Offtaken, Powerstations Total",833427622,20/12/2021 12:01:00,A
17/12/2021 00:00:00,17/12/2021,"NTS Energy Offtaken, Powerstations Total",884949110,18/12/2021 12:01:00,A
16/12/2021 00:00:00,16/12/2021,"NTS Energy Offtaken, Powerstations Total",905096000,17/12/2021 12:01:01,A
15/12/2021 00:00:00,15/12/2021,"NTS Energy Offtaken, Powerstations Total",723291121,16/12/2021 12:01:00,A
14/12/2021 00:00:00,14/12/2021,"NTS Energy Offtaken, Powerstations Total",617122777,15/12/2021 12:01:00,A
13/12/2021 00:00:00,13/12/2021,"NTS Energy Offtaken, Powerstations Total",736496386,14/12/2021 12:01:01,A
12/12/2021 00:00:00,12/12/2021,"NTS Energy Offtaken, Powerstations Total",366264739,13/12/2021 12:01:01,A
11/12/2021 00:00:00,11/12/2021,"NTS Energy Offtaken, Powerstations Total",498569722,13/12/2021 14:01:00,A
10/12/2021 00:00:00,10/12/2021,"NTS Energy Offtaken, Powerstations Total",678305705,15/12/2021 14:01:00,A
