Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
31/12/2021 00:00:00,31/12/2021,"NTS Energy Offtaken, Storage Injection Total",272406067,01/01/2022 14:01:00,A
30/12/2021 00:00:00,30/12/2021,"NTS Energy Offtaken, Storage Injection Total",335446808,31/12/2021 12:01:01,L
29/12/2021 00:00:00,29/12/2021,"NTS Energy Offtaken, Storage Injection Total",161289320,30/12/2021 12:01:01,L
28/12/2021 00:00:00,28/12/2021,"NTS Energy Offtaken, Storage Injection Total",129901994,29/12/2021 12:01:00,L
27/12/2021 00:00:00,27/12/2021,"NTS Energy Offtaken, Storage Injection Total",109869770,28/12/2021 12:01:00,L
26/12/2021 00:00:00,26/12/2021,"NTS Energy Offtaken, Storage Injection Total",246198289,28/12/2021 12:01:00,A
25/12/2021 00:00:00,25/12/2021,"NTS Energy Offtaken, Storage Injection Total",312062967,26/12/2021 12:01:00,L
24/12/2021 00:00:00,24/12/2021,"NTS Energy Offtaken, Storage Injection Total",281498489,25/12/2021 12:01:00,L
23/12/2021 00:00:00,23/12/2021,"NTS Energy Offtaken, Storage Injection Total",63514447,24/12/2021 12:01:00,L
22/12/2021 00:00:00,22/12/2021,"NTS Energy Offtaken, Storage Injection Total",0,23/12/2021 12:01:00,L
21/12/2021 00:00:00,21/12/2021,"NTS Energy Offtaken, Storage Injection Total",0,22/12/2021 12:01:01,L
20/12/2021 00:00:00,20/12/2021,"NTS Energy Offtaken, Storage Injection Total",0,21/12/2021 12:01:01,L
19/12/2021 00:00:00,19/12/2021,"NTS Energy Offtaken, Storage Injection Total",0,20/12/2021 12:01:00,L
18/12/2021 00:00:00,18/12/2021,"NTS Energy Offtaken, Storage Injection Total",36074422,19/12/2021 12:02:00,L
17/12/2021 00:00:00,17/12/2021,"NTS Energy Offtaken, Storage Injection Total",76103147,18/12/2021 12:01:00,L
16/12/2021 00:00:00,16/12/2021,"NTS Energy Offtaken, Storage Injection Total",366829,17/12/2021 12:01:01,L
15/12/2021 00:00:00,15/12/2021,"NTS Energy Offtaken, Storage Injection Total",181766410,16/12/2021 12:01:00,L
14/12/2021 00:00:00,14/12/2021,"NTS Energy Offtaken, Storage Injection Total",199672413,15/12/2021 12:01:00,L
13/12/2021 00:00:00,13/12/2021,"NTS Energy Offtaken, Storage Injection Total",42592375,14/12/2021 12:01:01,L
12/12/2021 00:00:00,12/12/2021,"NTS Energy Offtaken, Storage Injection Total",387611072,13/12/2021 12:01:01,L
11/12/2021 00:00:00,11/12/2021,"NTS Energy Offtaken, Storage Injection Total",8799892,12/12/2021 12:01:01,L
10/12/2021 00:00:00,10/12/2021,"NTS Energy Offtaken, Storage Injection Total",0,11/12/2021 12:01:00,L
09/12/2021 00:00:00,09/12/2021,"NTS Energy Offtaken, Storage Injection Total",46877893,10/12/2021 12:01:00,L
08/12/2021 00:00:00,08/12/2021,"NTS Energy Offtaken, Storage Injection Total",226940,09/12/2021 12:01:00,L
07/12/2021 00:00:00,07/12/2021,"NTS Energy Offtaken, Storage Injection Total",0,08/12/2021 12:01:01,L
06/12/2021 00:00:00,06/12/2021,"NTS Energy Offtaken, Storage Injection Total",10995485,07/12/2021 12:01:01,L
05/12/2021 00:00:00,05/12/2021,"NTS Energy Offtaken, Storage Injection Total",50513962,06/12/2021 12:01:01,L
04/12/2021 00:00:00,04/12/2021,"NTS Energy Offtaken, Storage Injection Total",274047952,05/12/2021 12:01:00,L
03/12/2021 00:00:00,03/12/2021,"NTS Energy Offtaken, Storage Injection Total",75827758,04/12/2021 12:01:01,L
02/12/2021 00:00:00,02/12/2021,"NTS Energy Offtaken, Storage Injection Total",30392714,03/12/2021 12:01:01,L
01/12/2021 00:00:00,01/12/2021,"NTS Energy Offtaken, Storage Injection Total",185869287,02/12/2021 12:01:01,L
